rejected,method
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
False,wild_gauss_defected_data
False,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
False,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
False,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
False,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
False,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
False,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
False,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
False,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
False,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
False,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
True,wild_gauss_defected_data
